Code,Wards (2016),Health Indicator,value
E05000026,Abbey; Barking and Dagenham,Emergency hospital admissions for all causes,100.2
E05000027,Alibon; Barking and Dagenham,Emergency hospital admissions for all causes,111.5
E05000028,Becontree; Barking and Dagenham,Emergency hospital admissions for all causes,113.8
E05000029,Chadwell Heath; Barking and Dagenham,Emergency hospital admissions for all causes,109.8
E05000030,Eastbrook; Barking and Dagenham,Emergency hospital admissions for all causes,108.1
E05000031,Eastbury; Barking and Dagenham,Emergency hospital admissions for all causes,104.7
E05000032,Gascoigne; Barking and Dagenham,Emergency hospital admissions for all causes,107.5
E05000033,Goresbrook; Barking and Dagenham,Emergency hospital admissions for all causes,101.2
E05000034,Heath; Barking and Dagenham,Emergency hospital admissions for all causes,115.9
E05000035,Longbridge; Barking and Dagenham,Emergency hospital admissions for all causes,97.4
E05000036,Mayesbrook; Barking and Dagenham,Emergency hospital admissions for all causes,106.0
E05000037,Parsloes; Barking and Dagenham,Emergency hospital admissions for all causes,116.6
E05000038,River; Barking and Dagenham,Emergency hospital admissions for all causes,106.7
E05000039,Thames; Barking and Dagenham,Emergency hospital admissions for all causes,98.9
E05000040,Valence; Barking and Dagenham,Emergency hospital admissions for all causes,115.8
E05000041,Village; Barking and Dagenham,Emergency hospital admissions for all causes,111.0
E05000042,Whalebone; Barking and Dagenham,Emergency hospital admissions for all causes,102.7
E05000043,Brunswick Park; Barnet,Emergency hospital admissions for all causes,89.2
E05000044,Burnt Oak; Barnet,Emergency hospital admissions for all causes,108.6
E05000045,Childs Hill; Barnet,Emergency hospital admissions for all causes,77.8
E05000046,Colindale; Barnet,Emergency hospital admissions for all causes,96.3
E05000047,Coppetts; Barnet,Emergency hospital admissions for all causes,93.0
E05000048,East Barnet; Barnet,Emergency hospital admissions for all causes,85.4
E05000049,East Finchley; Barnet,Emergency hospital admissions for all causes,77.5
E05000050,Edgware; Barnet,Emergency hospital admissions for all causes,88.5
E05000051,Finchley Church End; Barnet,Emergency hospital admissions for all causes,67.1
E05000052,Garden Suburb; Barnet,Emergency hospital admissions for all causes,58.4
E05000053,Golders Green; Barnet,Emergency hospital admissions for all causes,76.5
E05000054,Hale; Barnet,Emergency hospital admissions for all causes,93.7
E05000055,Hendon; Barnet,Emergency hospital admissions for all causes,72.3
E05000056,High Barnet; Barnet,Emergency hospital admissions for all causes,84.3
E05000057,Mill Hill; Barnet,Emergency hospital admissions for all causes,82.6
E05000058,Oakleigh; Barnet,Emergency hospital admissions for all causes,84.9
E05000059,Totteridge; Barnet,Emergency hospital admissions for all causes,88.6
E05000060,Underhill; Barnet,Emergency hospital admissions for all causes,101.3
